listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,bcrp_price_m2_usd,bcrp_price_rent_ratio,proyectos_nuevos_distrito,unidades_nuevas_distrito,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
148003136,Urbania,ATE,150103,Los Olmos Salamanca de Monterrico,Salamanca De Monterrico,725000.0,124.0,5846.774193548387,3,3,0,0.0,10,3838.0,475912.0,-0.523,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147065152,Urbania,ATE,150103,SALAMANCA DE MONTERRICO RECAUDADORES,Salamanca De Monterrico,748000.0,132.0,5666.666666666667,4,3,0,150.0,1,3838.0,506616.0,-0.476,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
148259756,Urbania,ATE,150103,Calle Las Tunas al 400,Salamanca De Monterrico,750000.0,130.0,5769.2307692307695,3,2,0,0.0,1,3838.0,498940.0,-0.503,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149387506,Urbania,ATE,150103,Edificio Sabadell con Badajoz,Mayorazgo,759000.0,194.0,3912.3711340206187,4,3,1,0.0,10,3838.0,744572.0,-0.019,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
143173637,Urbania,BARRANCO,150104,"Av EL SOL N° 5xx, Dpto. 208 AL 408",Barranco,251677.0,24.0,10486.541666666666,1,1,1,0.0,1,9299.0,223176.0,-0.128,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
142612185,Urbania,BARRANCO,150104,Av. El Sol Este,Barranco,255007.0,24.0,10625.291666666666,1,1,1,0.0,1,9299.0,223176.0,-0.143,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148451300,Urbania,BARRANCO,150104,Av Republica de Panama 350,Barranco,279650.0,46.0,6079.347826086957,1,1,0,180.0,1,9299.0,427754.0,0.346,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
147879979,Urbania,BARRANCO,150104,AV. REPUBLICA DE PANAMA 348,Barranco,287000.0,45.0,6377.777777777777,1,1,1,172.0,1,9299.0,418455.0,0.314,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149651540,Urbania,BARRANCO,150104,Jiron Corpancho Barranco,Barranco,289000.0,45.0,6422.222222222223,1,1,0,120.0,1,9299.0,418455.0,0.309,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149324096,Urbania,BARRANCO,150104,Calle Doña Delmira  al 400,Barranco,291550.0,62.0,4702.419354838709,2,1,0,70.0,1,9299.0,576538.0,0.494,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
143173629,Urbania,BARRANCO,150104,"Av EL SOL N° 5xx, Dpto. 104",Barranco,299003.0,32.0,9343.84375,1,1,1,0.0,1,9299.0,297568.0,-0.005,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148276260,Urbania,BARRANCO,150104,av franciso bolognesi,San Ignacio,323000.0,70.0,4614.285714285715,2,1,0,140.0,1,9299.0,650930.0,0.504,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149560785,Urbania,BARRANCO,150104,Jr. Pedro Heraud,Barranco,329550.0,54.0,6102.777777777777,1,1,0,0.0,1,9299.0,502146.0,0.344,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
143173633,Urbania,BARRANCO,150104,"Av EL SOL N° 5xx, Dpto. 304 AL 604",Barranco,329847.0,38.0,8680.184210526315,1,1,1,0.0,10,9299.0,353362.0,0.067,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149369202,Urbania,BARRANCO,150104,Avenida El Sol  Este  al 500,Barranco,359102.0,41.0,8758.585365853658,1,1,0,0.0,10,9299.0,381259.0,0.058,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149319130,Urbania,BARRANCO,150104,Avenida República de Panamá 348,Barranco,362250.0,70.0,5175.0,3,2,1,250.0,1,9299.0,650930.0,0.443,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149189652,Urbania,BARRANCO,150104,Av. Pedro de Osma 300,Barranco,370600.0,38.0,9752.631578947368,1,1,1,231.0,10,9299.0,353362.0,-0.049,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148694002,Urbania,BARRANCO,150104,"Jr. Ignacio Mariategui, 2xx, Dpto 1xx, Barranco",Tejadita,376320.0,76.0,4951.578947368421,2,1,0,40.0,10,9299.0,706724.0,0.468,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148117866,Urbania,BARRANCO,150104,mimosas barranco,Barranco,378000.0,40.0,9450.0,1,2,0,0.0,1,9299.0,371960.0,-0.016,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149907099,Urbania,BARRANCO,150104,Aurelio Souza 447,Barranco,379000.0,63.0,6015.873015873016,3,2,0,250.0,1,9299.0,585837.0,0.353,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149490623,Urbania,BARRANCO,150104,Avenida Grau,Barranco,382375.0,106.0,3607.311320754717,2,1,1,0.0,10,9299.0,985694.0,0.612,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
143173612,Urbania,BARRANCO,150104,"Av EL SOL N° 5xx, Dpto. 302 AL 2102",Barranco,383847.0,39.0,9842.23076923077,1,1,1,0.0,10,9299.0,362661.0,-0.058,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149276729,Urbania,BARRANCO,150104,Jirón Tejada al 100,Barranco,385000.0,77.0,5000.0,2,2,0,300.0,1,9299.0,716023.0,0.462,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148816292,Urbania,BARRANCO,150104,Av. Pedro de Osma,Barranco,391000.0,44.0,8886.363636363636,1,1,1,300.0,1,9299.0,409156.0,0.044,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149791245,Urbania,BARRANCO,150104,Avenida San Martín  al 600,Barranco,391579.0,39.0,10040.48717948718,1,1,1,0.0,10,9299.0,362661.0,-0.08,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149552867,Urbania,BARRANCO,150104,"Vive Barranco con Rooftop, Áreas Comunes de Primer Nivel",Barranco,401059.0,40.0,10026.475,1,1,0,0.0,1,9299.0,371960.0,-0.078,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
146556425,Urbania,BARRANCO,150104,Av. Almirante Miguel Grau 1020,Barranco,402943.0,40.0,10073.575,1,1,0,0.0,1,9299.0,371960.0,-0.083,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
